time,serviceboilerhe,brewboilerhe,pumpon
0024978592,127,0,0
0025066008,127,0,0
0025142556,127,0,0
0025230584,0,127,0
0025318104,0,127,0
0025405588,0,127,0
0025482220,0,127,0
0025569720,0,127,0
0025657240,0,127,0
0025744656,0,127,0
0025832072,0,127,0
0025919476,0,127,0
0026006892,0,127,0
0026094940,0,127,0
0026182396,0,127,0
0026269900,127,0,0
0026357376,127,0,0
0026444880,127,0,0
0026532372,127,0,0
0026619956,127,0,0
0026707412,127,0,0
0026794824,127,0,0
0026882244,127,0,0
0026969656,127,0,0
0027057012,127,0,0
0027133612,127,0,0
0027221636,0,127,0
0027309136,0,127,0
0027396648,0,127,0
0027473232,0,127,0
0027560768,0,127,0
0027648268,0,127,0
0027735716,0,127,0
0027823116,0,127,0
0027910532,0,127,0
0027997944,0,127,0
0028085988,0,127,0
0028173748,0,127,0
0028261268,127,0,0
0028348704,127,0,0
0028436220,127,0,0
0028523740,127,0,0
0028611316,127,0,0
0028698780,127,0,0
0028786192,127,0,0
0028873616,127,0,0
0028960968,127,0,0
0029048380,127,0,0
0029124964,127,0,0
0029212988,0,127,0
0029300484,0,127,0
0029387984,0,127,0
0029464592,0,127,0
0029552068,0,127,0
0029639628,0,127,0
0029727064,0,127,0
0029814496,0,127,0
0029901896,0,127,0
0029989308,0,127,0
0030077356,0,127,0
0030164792,0,127,0
0030252236,127,0,0
0030339752,127,0,0
0030427256,127,0,0
0030514772,127,0,0
0030602336,127,0,0
0030689812,127,0,0
0030777232,127,0,0
0030864644,127,0,0
0030952020,127,0,0
0031039420,127,0,0
0031116000,127,0,0
0031204008,0,127,0
0031291508,0,127,0
0031379004,0,127,0
0031455592,0,127,0
0031543088,0,127,0
0031630668,0,127,0
0031718124,0,127,0
0031805524,0,127,0
0031892940,0,127,0
0031980336,0,127,0
0032056820,0,127,0
0032144880,0,127,0
0032232380,127,0,0
0032319892,127,0,0
0032396500,127,0,0
0032483992,127,0,0
0032571516,127,0,0
0032659052,127,0,0
0032746472,127,0,0
0032833888,127,0,0
0032921276,127,0,0
0033008696,127,0,0
0033096168,127,0,0
0033184472,127,0,0
0033271968,0,127,0
0033359424,0,127,0
0033446944,0,127,0
0033534436,0,127,0
0033622000,0,127,0
0033709472,0,127,0
0033796884,0,127,0
0033884280,0,127,0
0033971692,0,127,0
0034059044,0,127,0
0034147108,0,127,0
0034234628,127,0,0
0034322124,127,0,0
0034409624,127,0,0
0034497136,127,0,0
0034584716,127,0,0
0034672212,127,0,0
0034759592,127,0,0
0034846984,127,0,0
0034934400,127,0,0
0035021816,127,0,0
0035098396,127,0,0
0035186380,127,0,0
0035273884,0,127,0
0035361336,0,127,0
0035437944,0,127,0
0035525456,0,127,0
0035613016,0,127,0
0035700492,0,127,0
0035787912,0,127,0
0035875312,0,127,0
0035962664,0,127,0
0036050088,0,127,0
