time,serviceboilerhe,brewboilerhe,pumpon
0008830644,0,0,127
0009028896,0,0,0
0009108476,0,0,0
0009188072,0,0,0
0009267672,0,0,0
0009347272,0,0,0
0009426832,0,0,0
0009514788,0,0,0
0009602712,0,0,0
0009681848,0,0,0
0009760996,0,0,0
0009840168,0,0,0
0009919276,0,0,0
0009998800,0,0,0
0010078392,0,0,0
0010157976,0,0,0
0010237580,0,0,0
0010325936,0,0,0
0010414364,0,0,0
0010493660,0,0,0
0010572780,0,0,0
0010651936,0,0,0
0010731072,0,0,0
0010810232,0,0,0
0010889308,0,0,0
0010965464,0,0,0
0011047436,0,0,0
0011129352,0,0,0
0011205496,0,0,0
0011287468,0,0,0
0011369420,0,0,0
0011451372,0,0,0
0011527472,0,0,0
0011609444,0,0,0
0011691416,0,0,0
0011767556,0,0,0
0011853992,0,0,0
0011937520,0,127,0
0012033996,0,127,0
0012118516,0,127,0
0012203024,0,127,0
0012287504,0,127,0
0012384100,0,127,0
0012468012,0,127,0
0012562052,0,127,0
0012644392,0,127,0
0012726708,0,127,0
0012809048,0,127,0
0012903184,127,0,0
0012986780,127,0,0
0013071284,127,0,0
0013155784,127,0,0
0013240288,127,0,0
0013324748,127,0,0
0013409312,127,0,0
0013504296,127,0,0
0013586636,127,0,0
0013668992,127,0,0
0013763052,127,0,0
0013845412,127,0,0
0013928860,0,127,0
0014025104,0,127,0
0014109612,0,127,0
0014206140,0,127,0
0014290640,0,127,0
0014375228,0,127,0
0014459404,0,127,0
0014553464,0,127,0
0014635760,0,127,0
0014718100,0,127,0
0014800456,0,127,0
0014894576,127,0,0
0014977884,127,0,0
0015062372,127,0,0
0015146900,127,0,0
0015231344,127,0,0
0015315852,127,0,0
0015400412,127,0,0
0015495708,127,0,0
0015578052,127,0,0
0015660408,127,0,0
0015754468,127,0,0
0015836764,127,0,0
0015920280,0,127,0
0016016528,0,127,0
0016101044,0,127,0
0016197560,0,127,0
0016282060,0,127,0
0016366644,0,127,0
0016451144,0,127,0
0016545204,0,127,0
0016627496,0,127,0
0016709836,0,127,0
0016792192,0,127,0
0016886312,127,0,0
0016969296,127,0,0
0017053800,127,0,0
0017138260,127,0,0
0017222768,127,0,0
0017307268,127,0,0
0017391836,127,0,0
0017487432,127,0,0
0017569796,127,0,0
0017652128,127,0,0
0017746192,127,0,0
0017828504,127,0,0
0017912020,0,127,0
0018007640,0,127,0
0018092144,0,127,0
0018188672,0,127,0
0018273160,0,127,0
0018369752,0,127,0
0018454272,0,127,0
