time,siga,sigb,sigc,pumpon,sige,sigf,sigg,sigh,sigt
0020621736,127,63,0,0,127,127,2,0,16
0020704068,127,63,0,0,127,127,2,0,16
0020798132,127,63,0,0,127,127,2,0,16
0020880532,127,63,0,0,127,127,2,0,16
0020963536,127,0,127,0,127,127,2,7,23
0021060064,127,0,127,0,127,127,2,7,23
0021144508,127,0,127,0,127,127,2,7,23
0021241036,127,0,127,0,127,127,2,7,23
0021325556,127,0,127,0,127,127,2,7,23
0021422152,127,0,127,0,127,127,2,7,23
0021505416,127,0,127,0,127,127,2,7,23
0021599476,127,0,127,0,127,127,2,7,23
0021681812,127,0,127,0,127,127,2,7,23
0021764172,127,0,127,0,127,127,2,7,23
0021858232,127,0,127,0,127,127,2,7,23
0021941700,127,63,0,0,127,127,2,0,16
0022025920,127,63,0,0,127,127,2,0,16
0022122436,127,63,0,0,127,127,2,0,16
0022206940,127,63,0,0,127,127,2,0,16
0022291448,127,63,0,0,127,127,2,0,16
0022376028,127,63,0,0,127,127,2,0,16
0022471912,127,63,0,0,127,127,2,0,16
0022554268,127,63,0,0,127,127,2,0,16
0022636568,127,63,0,0,127,127,2,0,16
0022730632,127,63,0,0,127,127,2,0,16
0022812968,127,63,0,0,127,127,2,0,16
0022895384,127,0,127,0,127,127,2,7,23
0022990396,127,0,127,0,127,127,2,7,23
0023074904,127,0,127,0,127,127,2,7,23
0023159424,127,0,127,0,127,127,2,7,23
0023243868,127,0,127,0,127,127,2,7,23
0023328352,127,0,127,0,127,127,2,7,23
0023412940,127,0,127,0,127,127,2,7,23
0023496208,127,0,127,0,127,127,2,7,23
0023590272,127,0,127,0,127,127,2,7,23
0023672608,127,0,127,0,127,127,2,7,23
0023754952,127,0,127,0,127,127,2,7,23
0023837268,127,0,127,0,127,127,2,7,23
0023932504,127,63,0,0,127,127,2,0,16
0024016404,127,63,0,0,127,127,2,0,16
0024112932,127,63,0,0,127,127,2,0,16
0024197420,127,63,0,0,127,127,2,0,16
0024293948,127,63,0,0,127,127,2,0,16
0024378516,127,63,0,0,127,127,2,0,16
0024462716,127,63,0,0,127,127,2,0,16
0024544996,127,63,0,0,127,127,2,0,16
0024627356,127,63,0,0,127,127,2,0,16
0024721420,127,63,0,0,127,127,2,0,16
0024803772,127,63,0,0,127,127,2,0,16
0024886176,127,0,127,0,127,127,2,7,23
0024968852,127,0,127,0,127,127,2,7,23
0025053360,127,0,127,0,127,127,2,7,23
0025137824,127,0,127,0,127,127,2,7,23
0025234340,127,0,127,0,127,127,2,7,23
0025318840,127,0,127,0,127,127,2,7,23
0025403432,127,0,127,0,127,127,2,7,23
0025486980,127,0,127,0,127,127,2,7,23
0025569348,127,0,127,0,127,127,2,7,23
0025663408,127,0,127,0,127,127,2,7,23
0025745704,127,0,127,0,127,127,2,7,23
0025828036,127,0,127,0,127,127,2,7,23
0025923272,127,63,0,0,127,127,2,0,16
0026007188,127,63,0,0,127,127,2,0,16
0026091696,127,63,0,0,127,127,2,0,16
0026176196,127,63,0,0,127,127,2,0,16
0026260700,127,63,0,0,127,127,2,0,16
0026345160,127,63,0,0,127,127,2,0,16
0026429724,127,63,0,0,127,127,2,0,16
0026524408,127,63,0,0,127,127,2,0,16
0026606748,127,63,0,0,127,127,2,0,16
0026689100,127,63,0,0,127,127,2,0,16
0026783140,127,63,0,0,127,127,2,0,16
0026865564,127,63,0,0,127,127,2,0,16
0026947856,127,0,127,0,127,127,2,7,23
0027032096,127,0,127,0,127,127,2,7,23
0027116584,127,0,127,0,127,127,2,7,23
0027201084,127,0,127,0,127,127,2,7,23
0027285588,127,0,127,0,127,127,2,7,23
0027370172,127,0,127,0,127,127,2,7,23
0027466380,127,0,127,0,127,127,2,7,23
0027548684,127,0,127,0,127,127,2,7,23
0027642764,127,0,127,0,127,127,2,7,23
0027725100,127,0,127,0,127,127,2,7,23
0027807456,127,0,127,0,127,127,2,7,23
0027890948,127,63,0,0,127,127,2,0,16
0027985656,127,63,0,0,127,127,2,0,16
0028070144,127,63,0,0,127,127,2,0,16
0028166692,127,63,0,0,127,127,2,0,16
0028251140,127,63,0,0,127,127,2,0,16
0028335640,127,63,0,0,127,127,2,0,16
0028420208,127,63,0,0,127,127,2,0,16
0028515200,127,63,0,0,127,127,2,0,16
0028597536,127,63,0,0,127,127,2,0,16
0028679872,127,63,0,0,127,127,2,0,16
0028773936,127,63,0,0,127,127,2,0,16
0028856276,127,63,0,0,127,127,2,0,16
0028938652,127,0,127,0,127,127,2,7,23
0029022568,127,0,127,0,127,127,2,7,23
0029107080,127,0,127,0,127,127,2,7,23
0029191560,127,0,127,0,127,127,2,7,23
0029276088,127,0,127,0,127,127,2,7,23
0029360572,127,0,127,0,127,127,2,7,23
0029457164,127,0,127,0,127,127,2,7,23
0029539464,127,0,127,0,127,127,2,7,23
0029633548,127,0,127,0,127,127,2,7,23
