time,b2,b5,b8,b16,b11,b14
8877524,686,680,626,473,607,685
9077660,686,680,626,459,607,671
9157824,686,680,626,458,607,670
9237868,686,680,626,458,607,670
9317952,686,680,626,457,607,669
9398120,686,680,626,457,607,669
9478164,686,680,626,457,607,669
9568232,686,680,625,457,607,670
9648396,686,680,626,457,607,669
9728440,686,680,626,458,608,669
9808600,686,680,626,457,607,669
9888628,686,680,626,457,607,669
9968792,686,680,626,457,607,669
10048836,686,680,626,457,607,669
10128984,686,680,626,457,607,669
10208916,686,680,626,458,607,670
10289052,686,680,626,457,607,669
10379096,686,680,626,457,607,669
10459232,686,680,626,457,607,669
10539380,686,680,626,457,607,669
10619424,686,680,626,458,607,670
10699472,686,680,625,456,607,669
10779628,686,680,625,456,607,669
10859672,686,680,626,457,607,669
10939800,686,680,625,456,607,669
11019848,686,680,626,457,607,669
11099876,686,680,626,457,607,669
11180032,686,680,626,458,607,670
11260060,686,680,626,458,607,670
11340128,686,680,626,458,607,670
11420256,686,680,626,457,607,669
11500412,686,680,626,457,607,669
11580340,686,680,626,457,607,669
11660508,686,680,626,457,607,669
11740656,686,680,626,457,607,669
11820708,686,680,626,458,607,670
11900756,686,680,626,457,607,669
11990808,686,680,626,457,607,669
12081068,686,680,626,458,607,670
12171120,686,680,626,457,607,669
12251148,686,680,626,458,607,670
12341284,686,680,626,457,607,669
12431336,686,680,626,458,607,670
12521468,686,680,626,457,607,669
12611480,686,680,625,457,607,670
12691608,686,680,626,457,607,669
12771536,686,680,626,458,607,670
12861768,686,680,625,456,607,669
12951800,686,680,626,458,607,670
13031848,686,680,626,457,607,669
13121880,686,680,626,457,606,670
13202024,686,680,626,457,607,669
13292076,686,680,626,457,607,669
13372224,686,680,626,458,607,670
13462252,686,680,626,457,607,669
13552284,686,680,626,458,607,670
13632436,686,680,626,456,606,669
13722488,686,680,626,457,607,669
13812616,686,680,626,457,607,669
13892744,686,680,626,457,607,669
13982796,686,680,626,457,607,669
14072828,686,680,626,457,607,669
14162860,686,680,626,457,607,669
14253092,686,680,626,457,607,669
14343124,686,680,626,458,607,670
14423252,686,680,626,458,607,670
14513284,686,680,626,458,607,670
14603336,686,680,626,458,607,670
14683484,686,680,626,457,607,669
14763412,686,680,626,457,607,669
14853664,686,680,625,457,607,670
14943676,686,680,626,457,607,669
15023704,686,680,626,458,607,670
15113860,686,680,626,457,607,669
15193868,686,680,626,458,607,670
15283884,686,680,626,457,607,669
15364020,686,680,626,457,607,669
15454044,686,680,626,457,607,669
15544076,686,680,626,457,607,669
15624212,686,680,625,456,607,669
15714224,686,680,626,457,607,669
15804360,686,680,626,457,607,669
15884388,686,680,626,458,607,670
15974504,686,680,626,458,607,670
16064652,686,680,626,457,607,669
16154660,686,680,626,458,607,670
16244692,686,680,626,457,607,669
16334724,686,680,625,457,607,670
16414832,686,680,626,457,607,669
16504860,686,680,626,458,607,670
16594972,686,680,625,456,607,669
16674996,686,680,626,458,607,670
16755124,686,680,625,457,607,670
16845156,686,680,626,458,607,670
16935288,686,680,625,457,607,670
17015396,686,680,626,457,607,669
17105428,686,680,625,456,607,669
17185436,686,680,626,456,606,669
17275568,686,680,626,457,606,670
17355596,686,680,626,457,607,669
17445688,686,680,626,458,607,670
17535700,686,680,626,458,607,670
17615708,686,680,626,458,607,670
17705820,686,680,625,456,607,669
17795852,686,680,625,457,607,670
17875868,686,680,626,457,607,669
17965980,686,680,626,458,607,670
18056112,686,680,625,455,606,669
18146120,686,680,626,457,607,669
18236152,686,680,626,458,607,670
18326184,686,680,626,457,607,669
18416416,686,680,626,458,607,670
18506428,686,680,626,458,607,670
18596480,686,680,626,458,607,670
18676596,686,680,626,457,607,669
18766600,686,680,626,458,607,670
18856612,686,680,626,458,607,670
18936748,686,680,626,458,607,670
19026756,686,680,626,458,607,670
19116892,686,680,626,458,607,670
19206924,686,680,626,458,607,670
19296936,686,680,626,458,607,670
19387088,686,680,626,458,607,670
19467076,686,680,626,458,607,670
19547232,686,680,626,457,607,669
19637244,686,680,626,458,607,670
19727380,686,680,626,457,607,669
19807388,686,680,626,458,607,670
19897400,686,680,626,458,607,670
19987532,686,680,625,456,606,670
20067640,686,680,626,458,607,670
20157676,686,680,626,458,607,670
20237804,686,680,626,458,607,670
20327836,686,680,626,458,607,670
20407968,686,680,626,458,607,670
20498004,686,680,625,456,607,669
20588032,686,680,626,458,607,670
20668160,686,680,626,458,607,670
20758188,686,680,626,458,607,670
20848200,686,680,626,458,607,670
20928328,686,680,625,457,607,670
21018360,686,680,626,458,607,670
21108472,686,680,625,457,607,670
21198480,686,680,626,458,607,670
21288512,686,680,626,458,607,670
21378644,686,680,626,458,607,670
21468756,686,680,626,458,607,670
21558788,686,680,626,458,607,670
21648800,686,680,626,458,607,670
21728928,686,680,626,458,607,670
21818956,686,680,626,458,607,670
21908968,686,680,626,458,607,670
21989096,686,680,626,458,607,670
22079132,686,680,626,458,607,670
22169264,686,680,626,458,607,670
22259396,686,680,626,458,607,670
22339432,686,680,626,458,607,670
22429436,686,680,626,458,607,670
22519448,686,680,626,458,607,670
22599584,686,680,626,458,607,670
22689592,686,680,626,458,607,670
