time,brewboiler,serviceboiler,waterlevel,microswitch
0000075796,76.1,117.8,793,0
0000165780,76.1,117.8,793,0
0000245772,76.3,117.8,793,0
0000335868,76.1,117.8,793,0
0000425964,76.1,117.8,793,0
0000515932,76.3,117.9,793,0
0000596032,76.3,117.8,792,0
0000686032,76.3,117.8,793,0
0000776048,76.3,117.8,793,0
0000866140,76.1,117.8,793,0
0000946240,76.3,117.9,793,0
0001036236,76.1,117.8,793,0
0001126232,76.1,117.8,793,0
0001216236,76.1,117.8,793,0
0001296340,76.3,117.9,793,0
0001386360,76.1,117.9,793,0
0001476464,76.1,117.8,793,0
0001556564,76.1,117.8,793,0
0001636560,76.3,117.8,793,0
0001726564,76.1,117.9,793,0
0001816568,76.1,117.8,793,0
0001896684,76.1,117.8,793,0
0001986808,76.1,117.8,793,0
0002076812,76.1,117.8,793,0
0002166832,76.1,117.8,793,0
0002246952,76.1,117.9,793,0
0002326952,76.1,117.8,793,0
0002416956,76.1,117.8,793,0
0002507064,76.1,117.8,793,0
0002587184,76.1,117.9,793,0
0002677184,76.1,117.9,793,0
0002767188,76.3,117.9,793,0
0002847288,76.3,117.8,793,0
0002927388,76.1,117.9,793,0
0003017392,76.1,117.8,793,0
0003107400,76.1,117.8,793,0
0003187400,76.1,117.8,793,0
0003267528,76.1,117.9,793,0
0003357628,76.3,117.8,793,0
0003447624,76.1,117.8,793,0
0003527632,76.1,117.9,793,0
0003617628,76.1,117.8,793,0
0003707760,76.3,117.8,793,0
0003797776,76.3,117.8,793,0
0003877884,76.1,117.8,793,0
0003968012,76.1,117.8,793,0
0004058032,76.1,117.8,793,0
0004148052,76.1,117.8,793,0
0004228176,76.1,117.9,793,0
0004318180,76.1,117.9,793,0
0004408304,76.1,117.9,793,0
0004498308,76.3,117.8,793,0
0004578408,76.1,117.8,793,0
0004668432,76.1,117.9,793,0
0004758540,76.1,117.9,793,0
0004848544,76.1,117.8,793,0
0004928668,76.3,117.9,793,0
0005018688,76.1,117.9,793,0
0005108692,76.1,117.9,793,0
0005188816,76.1,117.9,793,0
0005268816,76.1,117.9,792,0
0005358940,76.1,117.9,793,0
0005448844,76.1,117.9,793,0
0005528964,76.1,117.9,793,0
0005609084,76.1,117.9,793,0
0005699128,76.1,118.1,793,0
0005789252,76.1,118.1,793,0
0005869272,76.1,117.9,793,0
0005959300,76.1,118.1,793,0
0006049444,76.1,117.9,793,0
0006139468,76.1,118.1,793,0
0006219612,76.1,118.1,793,0
0006309636,76.1,118.1,793,0
0006399784,76.1,118.1,793,0
0006479916,76.1,118.1,793,0
0006559836,76.1,118.1,793,0
0006649980,76.1,118.1,793,0
0006740124,76.1,118.1,793,0
0006820144,76.1,118.1,793,0
0006910188,76.1,118.2,793,0
0007000316,76.1,118.1,793,0
0007090364,76.1,118.2,793,0
0007170364,76.1,118.2,793,0
0007260508,76.1,118.2,793,0
0007350532,76.1,118.2,793,0
0007440680,76.1,118.2,793,0
0007520820,76.1,118.2,792,0
0007610844,76.1,118.2,793,0
0007700952,76.1,118.2,792,0
0007790976,76.1,118.2,793,0
0007870996,76.1,118.4,793,0
0007961024,76.1,118.4,793,0
0008051128,76.3,118.4,793,0
0008141256,76.3,118.4,793,0
0008221276,76.3,118.4,793,0
0008311404,76.3,118.4,793,0
0008401428,76.3,118.4,793,0
0008491432,76.3,118.4,793,0
0008571452,76.4,118.5,793,0
0008661556,76.4,118.4,793,0
0008751684,76.3,118.4,793,0
0008841688,76.4,118.5,793,0
0008921812,76.4,118.4,793,0
0009011732,76.4,118.4,793,0
0009101840,76.4,118.5,792,0
0009181960,76.4,118.5,793,0
0009262052,76.4,118.5,793,0
0009351968,76.5,118.5,793,0
0009442076,76.4,118.5,793,0
0009522064,76.4,118.5,793,0
0009602164,76.5,118.5,793,0
0009692148,76.5,118.5,793,0
0009782260,76.4,118.7,793,0
0009862240,76.4,118.7,792,0
0009952328,76.6,118.7,793,0
0010042332,76.5,118.7,792,0
0010132340,76.6,118.7,793,0
0010212432,76.6,118.8,793,0
0010302560,76.6,118.7,792,0
0010392552,76.5,118.7,793,0
0010482560,76.6,118.8,793,0
0010562668,76.6,118.7,793,0
0010652676,76.6,118.7,792,0
0010742784,76.6,118.7,793,0
0010832792,76.6,118.8,792,0
0010912876,76.8,118.8,793,0
0011002888,76.7,118.7,793,0
0011092996,76.7,118.7,793,0
0011173004,76.8,118.8,793,0
0011253012,76.8,118.8,793,0
0011343020,76.8,118.8,793,0
0011433132,76.8,118.8,793,0
0011513140,76.8,118.8,793,0
0011593268,76.8,118.8,793,0
0011683276,77.0,118.8,793,0
0011773408,77.0,118.8,793,0
0011853396,77.0,118.8,793,0
0011943524,77.0,118.8,793,0
0012033516,77.0,119.0,793,0
0012123504,77.0,118.8,792,0
0012203616,77.1,119.0,792,0
0012293624,77.1,119.0,793,0
0012383732,77.1,118.8,793,0
0012473740,77.1,119.0,792,0
0012553844,77.2,118.8,793,0
0012643856,77.2,119.0,793,0
0012733944,77.2,119.0,793,0
0012823936,77.2,119.0,792,0
0012904040,77.3,119.1,793,0
0012993944,77.3,119.0,793,0
0013084052,77.3,119.0,793,0
0013164156,77.4,119.0,793,0
0013244136,77.4,119.0,792,0
0013334144,77.3,119.1,793,0
0013424228,77.4,119.1,793,0
0013504208,77.4,119.1,792,0
0013584320,77.6,119.0,793,0
0013674316,77.6,119.1,793,0
0013764304,77.6,119.0,793,0
0013844512,77.6,119.1,792,0
0013934520,77.6,119.1,793,0
0014024520,77.6,119.1,792,0
0014114608,77.7,119.1,793,0
0014194616,77.7,119.1,793,0
0014284616,77.7,119.1,793,0
0014374728,77.8,119.1,793,0
0014464840,77.8,119.1,793,0
0014544852,77.8,119.3,793,0
0014634960,77.9,119.1,793,0
0014724972,77.8,119.3,792,0
0014815000,77.9,119.3,793,0
0014895016,77.9,119.1,793,0
0014985128,78.0,119.3,793,0
0015075132,78.0,119.3,793,0
0015155248,78.0,119.3,793,0
0015235376,78.0,119.3,793,0
0015325388,78.2,119.3,793,0
0015415380,78.2,119.3,793,0
0015495408,78.2,119.3,793,0
0015575516,78.2,119.3,793,0
0015665528,78.3,119.3,792,0
0015755640,78.3,119.3,792,0
0015835648,78.4,119.3,793,0
0015925760,78.4,119.4,793,0
0016015892,78.4,119.3,793,0
0016105900,78.4,119.4,793,0
0016186008,78.4,119.4,792,0
0016276016,78.5,119.3,793,0
0016366048,78.5,119.4,793,0
0016456060,78.5,119.3,793,0
0016536080,78.5,119.3,793,0
0016626312,78.6,119.4,793,0
0016716320,78.6,119.3,793,0
0016806332,78.7,119.4,793,0
0016886336,78.6,119.4,792,0
0016976448,78.7,119.4,793,0
0017066576,78.7,119.4,793,0
0017146484,78.7,119.4,793,0
0017226588,78.7,119.4,793,0
0017316580,78.9,119.4,793,0
0017406792,78.9,119.4,793,0
0017486784,78.9,119.4,793,0
0017566788,78.9,119.4,793,0
0017656880,79.0,119.4,793,0
0017746868,79.0,119.4,793,0
0017826976,79.0,119.4,793,0
0017916968,79.1,119.4,793,0
0018006980,79.0,119.6,793,0
