time,b2,b5,b8,b16,b11,b14
17316580,579,524,292,496,100,537
17406792,579,524,292,496,100,537
17486784,579,524,292,496,100,537
17566788,579,524,292,496,100,537
17656880,579,524,291,495,100,537
17746868,579,524,291,495,100,537
17826976,579,524,291,495,100,537
17916968,579,524,290,494,100,537
18006980,579,524,291,494,99,537
18087068,579,524,290,493,100,536
18167072,579,524,290,492,99,536
18257164,579,524,290,492,99,536
18347052,578,524,289,490,99,536
18427164,578,524,289,490,99,536
18507272,578,524,289,490,99,536
18597280,578,524,289,491,99,537
18687272,578,524,288,489,99,536
18767400,578,524,288,490,99,537
18857388,578,524,288,489,98,537
18947524,578,524,287,489,99,537
19037636,578,524,287,488,99,536
19117544,578,524,287,489,99,537
19207760,578,524,287,489,99,537
19297668,578,524,286,486,98,536
19387880,578,524,286,487,99,536
19467788,578,524,286,487,98,537
19557996,578,524,285,486,98,537
19648012,578,524,285,486,98,537
19738040,578,524,285,485,98,536
19818168,578,524,284,485,98,537
19908180,578,524,285,486,99,536
19998192,578,524,284,484,98,536
20088300,578,524,284,484,98,536
20168412,578,524,284,485,99,536
20258400,578,524,283,484,98,537
20348412,578,524,283,484,98,537
20438524,578,524,283,484,98,537
20518516,578,524,283,484,98,537
20608644,577,524,282,482,98,537
20698632,577,524,282,482,98,537
20788764,577,524,282,481,98,536
20868668,577,524,282,482,98,537
20958800,577,524,281,480,98,536
21048912,577,524,281,480,98,536
21128916,577,524,281,481,98,537
21209028,577,524,281,481,98,537
21299028,577,524,280,480,98,537
21389040,577,524,280,479,98,536
21469152,577,524,280,479,98,536
21549160,577,524,280,480,98,537
21639168,577,524,279,478,97,537
21729260,577,524,279,478,97,537
21809264,577,524,279,479,98,537
21899376,577,524,279,478,98,536
21989468,576,524,278,477,98,537
22069372,576,524,278,476,97,537
22149480,576,524,277,475,97,537
22239572,576,524,277,475,97,537
22329564,576,524,277,474,97,536
22409676,576,524,276,474,97,537
22489660,576,524,276,474,97,537
22579668,576,523,276,472,96,537
22669756,576,524,276,473,97,536
22749764,576,524,276,474,97,537
22839756,576,524,275,473,97,537
22929868,576,523,275,471,96,537
23019880,576,523,275,471,96,537
23099864,575,524,274,471,97,537
23190080,575,524,274,471,97,537
23279968,575,524,274,470,97,536
23370080,575,523,274,469,96,537
23450188,575,524,274,470,97,536
23540180,575,524,273,469,97,536
23630276,575,524,273,469,97,536
23720244,575,523,273,467,96,536
23800352,575,524,273,470,97,537
23890344,575,524,272,469,97,537
23980356,575,523,272,467,96,537
24070468,575,523,272,467,96,537
24150456,575,523,271,466,96,537
24240568,575,523,271,465,96,536
24330560,575,523,271,465,96,536
24420672,575,523,271,466,96,537
24500680,574,523,270,464,96,537
24590672,574,523,270,464,96,537
24680784,574,523,269,463,96,537
24770796,574,523,269,462,96,536
24850904,574,523,270,463,96,536
24940896,574,523,269,462,96,536
25030988,574,523,269,463,96,537
25110996,574,523,269,462,96,536
25191108,574,523,268,462,96,537
25281120,574,523,268,461,96,536
25371112,574,523,268,460,95,536
25451224,574,523,268,462,96,537
25531212,574,523,267,461,96,537
25621324,574,523,267,459,95,536
25711460,574,523,267,461,96,537
25791448,573,523,266,457,95,536
25881432,573,523,266,457,95,536
25971444,573,523,266,457,95,536
26061536,573,523,265,456,95,536
26141552,573,523,265,457,95,537
26231664,573,523,265,456,95,536
26321668,573,523,264,456,95,537
26411660,573,523,265,456,95,536
26491768,573,523,264,456,95,537
26581772,573,523,264,455,95,536
26671884,573,523,264,454,94,536
26761876,573,523,263,454,95,536
26841988,573,523,263,454,95,536
26931984,573,523,263,453,94,536
27022092,572,523,262,452,95,536
27102120,572,523,262,451,94,536
27182228,573,523,263,454,95,536
27272216,572,523,262,452,95,536
27362224,572,523,262,453,95,537
27442224,572,523,261,451,95,536
27522412,572,523,261,452,95,537
27612420,572,523,261,450,94,536
27702424,572,523,261,452,95,537
27782528,572,523,261,450,94,536
27872540,572,523,260,451,95,537
27962644,572,523,260,449,94,536
28052656,572,523,260,450,95,536
28132760,572,523,260,451,95,537
28222688,571,523,259,447,94,536
28312816,571,523,259,448,94,537
28402928,571,523,259,447,94,536
28482952,571,523,258,447,94,537
28573060,571,523,259,447,94,536
28663072,571,523,258,446,94,536
28753080,571,523,257,446,94,537
28833188,571,523,257,445,94,536
28923196,571,522,258,444,93,536
29013204,571,523,257,445,94,536
29093308,571,523,257,445,94,536
29173432,571,522,256,442,93,536
29263440,571,523,256,444,94,536
29353548,571,522,256,442,93,536
29433556,571,522,256,442,93,536
29513564,570,522,255,442,93,537
29603676,570,523,255,443,94,536
29693684,570,523,255,443,94,536
29773696,570,522,255,441,93,536
29863824,570,522,254,440,93,536
29953932,570,522,254,441,93,537
30043936,570,522,254,441,93,537
30123948,570,522,254,440,93,536
30214060,570,523,254,442,94,536
30304084,570,522,253,439,93,536
30394196,570,522,253,439,93,536
30474208,570,522,253,439,93,536
30564220,569,522,252,437,93,536
30654224,569,522,252,436,92,536
30744356,569,522,252,437,93,536
30824448,569,522,252,436,92,536
30914576,569,522,252,437,93,536
31004496,569,522,252,437,93,536
31084612,569,522,251,437,93,537
31164740,569,522,251,436,93,536
31254748,569,522,251,436,93,536
31344760,569,522,251,436,93,536
31424764,569,522,251,436,92,537
31504852,569,522,251,436,93,536
31594980,569,522,250,434,92,536
31685012,569,522,250,434,92,536
31765016,569,522,250,435,93,536
31855128,569,522,249,434,93,536
31945136,569,522,250,435,93,536
32025244,569,522,249,433,92,536
32105248,569,522,250,435,92,537
32195232,569,522,249,434,93,536
32285440,569,522,249,433,92,536
32365368,569,522,248,432,92,536
32445476,569,522,249,433,92,536
32535588,569,522,248,432,92,536
32625596,569,522,248,432,92,536
32705744,569,522,248,432,92,536
32795756,569,522,248,432,92,536
32885780,569,522,248,432,92,536
32975788,569,522,248,432,92,536
33055908,569,522,248,432,92,536
33145916,569,522,247,431,92,536
33236044,569,522,248,432,92,536
33326052,569,521,247,429,91,536
33406156,569,522,246,430,92,536
33496184,569,522,247,432,92,537
33586172,569,522,246,430,92,536
33676300,569,521,246,428,91,536
33756304,569,521,247,429,91,536
33846392,569,521,246,428,91,536
33936496,569,521,246,428,91,536
34026484,569,522,246,430,92,536
34106488,569,521,246,428,91,536
34196596,569,521,246,428,91,536
34286584,569,521,246,428,91,536
34376672,569,521,245,427,91,536
34456676,569,521,245,427,91,536
34546664,569,521,245,427,91,536
34636752,568,521,244,425,91,536
34726760,569,521,245,426,90,536
34806768,568,521,244,425,91,536
34896956,568,521,244,424,90,536
34986964,568,521,243,424,91,536
35066948,568,521,244,426,91,537
35146952,568,521,244,425,91,536
35237064,568,521,243,424,91,536
35327172,568,521,243,424,91,536
35407176,568,521,243,423,90,536
35487284,568,521,243,424,90,537
35577292,568,521,242,423,91,536
35667300,568,521,243,424,91,536
35747304,568,521,242,423,90,537
35837396,568,521,242,422,90,536
35927408,568,521,241,421,90,536
36017516,568,521,241,421,90,536
36097520,568,521,241,422,90,537
36187528,568,521,241,422,90,537
36277616,568,521,241,421,90,536
36367724,568,521,241,421,90,536
36447732,568,521,241,421,90,536
36537720,567,521,240,420,91,536
36627808,567,521,240,420,90,537
36717800,567,521,240,419,90,536
36797804,567,521,240,419,90,536
36887896,567,521,239,418,90,536
36977984,567,521,239,418,90,536
37057948,567,521,239,418,90,536
37138052,567,521,239,418,90,536
37228140,567,521,239,418,90,536
37318028,567,521,239,418,90,536
37398112,567,521,238,416,89,536
37478200,567,521,238,417,90,536
37568188,567,521,238,417,90,536
37658176,566,521,237,414,89,536
37738164,567,521,238,417,90,536
37828332,566,521,237,414,89,536
37918300,566,521,237,414,89,536
38008312,566,521,237,415,90,536
38088300,566,521,237,414,89,536
38178392,566,521,237,414,89,536
38268380,566,521,237,414,89,536
38358392,566,521,236,414,90,536
38438484,566,521,236,413,89,536
38528592,566,521,236,413,89,536
38618600,566,521,236,413,89,536
38708692,566,521,235,412,89,536
38788676,566,521,235,412,89,536
38878668,566,521,235,412,89,536
38968776,566,520,235,410,88,536
39058764,566,521,235,412,89,536
39138852,566,520,234,409,88,536
39228964,566,521,234,411,89,536
39318852,566,521,234,411,89,536
39408944,565,520,233,407,88,536
39489028,565,521,233,409,89,536
39579036,565,521,233,409,89,536
39669024,565,520,233,407,88,536
39758996,565,521,232,408,89,536
39839200,565,521,232,408,89,536
39929192,565,521,232,408,89,536
40019180,565,521,231,407,89,536
40099268,565,521,231,407,89,536
40179272,565,520,231,405,88,536
40269360,565,521,231,407,89,536
40359248,565,520,231,405,88,536
40439352,565,521,230,406,89,536
40519460,565,521,230,406,89,536
40609472,564,521,229,404,89,536
40699480,565,520,230,404,88,536
40779588,564,520,229,402,88,536
40869596,564,521,229,404,89,536
40959708,564,520,228,401,88,536
41049820,564,520,228,402,88,537
41129740,564,520,228,401,88,536
41219848,564,520,228,402,88,537
41309932,564,520,227,400,88,536
41399940,564,520,227,400,88,536
41480052,564,520,227,400,88,536
41570032,564,520,227,400,88,536
41660000,564,520,227,400,88,536
41750104,563,520,226,398,88,536
41830108,563,520,226,398,88,536
41920220,563,520,226,398,88,536
42010328,563,520,225,397,88,536
42100232,563,520,225,398,88,537
42180436,563,520,225,397,88,536
42270444,563,520,225,397,88,536
42360448,563,520,225,396,87,536
42450456,563,520,225,396,87,536
42530580,563,520,224,395,87,536
42620584,563,520,224,395,87,536
42710712,563,520,224,395,87,536
42800840,563,520,224,395,87,536
42880724,562,520,223,393,87,536
42970872,562,520,223,393,87,536
43060976,562,520,223,394,88,536
43141008,562,520,223,393,87,536
43221012,562,520,223,393,87,536
43311040,562,520,223,393,87,536
43401148,562,520,222,392,87,536
43491276,562,520,222,392,87,536
43571260,562,520,222,392,87,536
43661404,562,520,222,392,87,536
43751416,562,519,222,390,86,536
43831532,562,519,221,389,86,536
43911532,562,520,221,391,87,536
44001556,562,520,221,391,87,536
44091664,562,520,221,391,87,536
44171664,562,519,220,388,86,536
44251684,562,519,220,388,86,536
44341784,562,519,221,389,86,536
44431788,562,520,220,390,87,536
44511768,562,520,220,390,87,536
44601876,562,519,220,388,86,536
44691980,562,519,220,388,86,536
44781980,561,519,219,386,86,536
44861980,561,520,219,388,87,536
44952108,561,519,218,385,86,536
45042212,561,519,219,386,86,536
45122208,561,520,219,388,87,536
45202336,561,520,218,387,87,536
45292332,561,519,218,385,86,536
45382336,561,519,218,385,86,536
45462356,561,519,218,385,86,536
45542440,561,519,218,384,85,536
45632444,561,519,217,384,86,536
45722564,561,519,218,384,85,536
45802644,561,519,217,384,86,536
45892648,561,519,218,385,86,536
45982632,561,519,217,384,86,536
46072732,561,519,217,384,86,536
46152812,561,519,217,384,86,536
46242692,561,519,217,384,86,536
46332776,560,519,216,509,85,536
46422756,560,519,216,509,85,536
46502864,560,519,216,509,85,536
46592892,561,519,217,511,85,536
46682996,560,519,216,510,86,536
46772980,560,519,216,509,85,536
46852988,560,519,216,509,85,536
46943096,560,519,216,509,85,536
47033096,560,519,216,509,85,536
47123208,560,519,216,509,85,536
47203216,560,519,215,508,85,536
47283340,560,519,215,508,85,536
47373364,560,518,215,506,84,536
47463472,560,519,215,508,85,536
47543496,560,519,215,508,85,536
47633604,560,518,215,506,84,536
47723588,560,519,215,508,85,536
47813616,560,518,215,506,84,536
47893720,560,519,214,507,85,536
47983848,560,518,214,505,84,536
48073756,560,518,214,505,84,536
48163864,560,518,213,504,84,536
48243864,560,518,214,505,84,536
48333972,560,518,213,504,84,536
48423976,560,518,213,504,84,536
48514084,560,518,213,504,84,536
48594188,560,518,213,504,84,536
48684216,560,518,213,504,84,536
48774200,560,518,213,503,83,536
48864328,560,518,213,504,84,536
48944328,560,518,212,502,83,536
49034436,560,518,213,503,83,536
49124424,560,518,213,503,83,536
49204528,560,518,213,503,83,536
49284528,560,518,212,502,83,536
49374532,560,518,212,502,83,536
49464616,560,518,212,502,83,536
49544620,560,518,212,502,83,536
49624620,560,518,211,501,83,536
49714828,560,518,212,502,83,536
49804836,560,518,211,501,83,536
49884820,560,518,211,501,83,536
49974944,560,518,211,501,83,536
50064928,560,517,211,499,82,536
50155076,560,518,211,501,83,536
50234976,560,517,211,499,82,536
50315208,560,518,211,501,83,536
50405108,559,517,210,497,82,536
50495116,560,517,211,499,82,536
50575228,560,517,211,498,81,536
50665316,560,517,211,498,81,536
50755320,560,517,211,499,82,536
50835428,560,517,211,499,82,536
50915432,559,517,210,497,82,536
51005560,559,517,210,497,82,536
51095648,559,517,210,497,82,536
51175676,559,517,210,497,82,536
51255556,559,517,210,497,82,536
51345684,559,517,210,497,82,536
51435688,559,517,210,497,82,536
51515808,559,517,210,497,82,536
51605936,559,517,210,497,82,536
51695944,559,517,210,496,81,536
51786048,559,517,210,496,81,536
51866072,559,517,209,495,81,536
51956076,559,517,210,497,82,536
52046184,559,517,209,495,81,536
52136172,559,517,210,496,81,536
52216272,559,517,209,495,81,536
52306360,559,517,209,495,81,536
52396248,559,517,209,495,81,536
52486456,559,517,209,495,81,536
52566372,559,517,209,495,81,536
52656476,559,517,209,495,81,536
52746504,559,517,209,495,81,536
52836608,559,517,209,495,81,536
52916608,559,517,209,496,81,537
53006612,559,517,209,495,81,536
53096736,559,517,209,495,81,536
53176740,559,517,209,495,81,536
53256860,559,517,209,495,81,536
53346884,559,517,209,495,81,536
53436988,559,516,209,493,80,536
53526992,559,517,208,494,81,536
53607096,559,516,209,493,80,536
53697100,559,516,208,492,80,536
53787208,559,516,208,492,80,536
53877208,559,516,208,492,80,536
53957312,559,516,208,492,80,536
54047316,559,516,209,493,80,536
54137320,559,516,209,492,79,536
54227344,559,516,209,492,79,536
54307568,559,516,209,492,79,536
54397596,559,516,209,493,80,536
54487600,559,516,209,492,79,536
54567724,559,516,209,492,79,536
54647732,559,516,209,493,80,536
54737776,559,516,209,492,79,536
54827884,559,516,208,491,79,536
54907884,559,516,208,491,79,536
54997912,559,516,209,492,79,536
55088040,559,516,209,492,79,536
55178168,559,516,209,492,79,536
55258168,559,516,209,492,79,536
55338192,559,516,208,491,79,536
55428300,559,516,208,491,79,536
55518444,559,515,208,489,78,536
55598448,559,515,208,489,78,536
55688456,559,516,208,491,79,536
55778580,559,515,208,489,78,536
55868688,559,516,208,491,79,536
55948692,559,515,208,489,78,536
56038720,559,515,207,488,78,536
56128824,559,515,208,489,78,536
56218828,559,515,207,488,78,536
56298872,559,515,207,488,78,536
56389000,559,515,208,489,78,536
56479024,559,515,207,488,78,536
56569072,559,515,207,488,78,536
56649212,558,515,206,486,78,536
56739236,559,515,207,488,78,536
56829264,559,515,207,488,78,536
56909508,559,515,207,488,78,536
56989532,558,515,206,485,77,536
57079664,559,515,207,488,78,536
57169584,558,515,206,485,77,536
57249716,558,515,206,485,77,536
