time,b2,b5,b8,b16,b11
21528920,595,614,358,384,449
21609020,595,614,358,385,450
21699020,594,614,357,511,450
21789148,594,614,356,509,450
21879256,594,614,357,510,450
21969264,594,614,356,509,450
22059272,594,614,355,509,450
22149284,594,614,355,509,450
22239392,594,614,354,508,450
22329520,593,614,353,506,450
22429552,593,614,353,505,449
22519680,593,614,353,505,450
22619708,593,614,352,504,450
22709712,593,614,352,504,449
22799844,593,614,350,503,450
22889872,593,614,350,502,450
22980000,593,614,350,502,450
23070128,593,614,350,503,450
23160160,592,614,349,501,450
23250168,592,614,348,500,450
23340296,592,614,349,501,450
23430304,592,614,348,499,450
23520316,592,614,347,499,450
23610444,592,614,347,499,450
23700572,592,614,347,498,450
23800596,592,614,346,498,450
23890624,592,614,346,498,450
23970756,591,614,345,496,450
24060784,591,614,345,496,450
24160932,591,614,345,496,450
24250964,591,614,344,495,450
24341112,591,614,344,495,450
24441244,591,614,343,494,450
24531152,591,614,343,492,449
24611380,591,614,342,492,450
24701428,590,614,341,491,450
24791456,590,614,341,491,450
24871584,590,614,341,491,450
24961632,590,614,340,489,450
25061744,590,614,340,490,450
25151672,590,614,339,488,450
25241804,590,614,338,488,450
25341936,590,614,338,488,450
25431948,590,614,338,487,449
25522060,590,614,338,487,450
25612188,589,614,337,485,450
25712212,589,614,337,485,449
25802220,589,614,336,485,450
25892248,589,614,336,485,450
25982356,589,614,335,483,450
26072484,589,614,335,483,449
26172516,589,614,334,483,450
26262544,589,614,334,483,450
26352568,588,614,333,481,450
26452792,588,614,333,481,450
26542700,588,614,332,480,450
26632848,588,614,331,479,450
26722972,588,614,331,478,450
26802976,588,614,330,478,450
26893100,588,614,330,478,450
26993232,588,614,330,478,450
27093140,587,614,329,476,450
27183268,587,614,329,476,450
27273376,587,614,328,475,450
27353400,587,614,329,475,450
27443528,587,614,327,474,450
27543536,587,614,327,474,450
27633544,587,614,326,473,450
27723672,587,614,326,473,450
27813804,587,614,326,473,450
27903824,587,614,326,472,450
28003860,587,614,325,471,450
28093984,587,614,325,471,450
28183996,587,614,324,471,450
28264140,587,614,324,471,450
28354164,587,614,323,470,450
28434268,587,614,323,469,450
28524216,587,614,323,469,450
28614428,587,614,323,470,450
28704436,587,614,322,469,450
28794464,587,614,322,469,450
28884572,586,614,321,467,450
28984680,586,614,320,466,450
29084608,586,614,320,465,449
29184836,586,614,319,465,450
29274860,586,614,319,464,450
29364908,586,614,319,465,450
29444916,586,614,318,464,450
29535044,586,614,318,464,450
29625152,585,614,317,462,450
29715080,585,614,317,462,450
29815192,585,614,316,460,450
29905320,585,614,316,461,450
29995432,585,614,316,460,450
30095344,585,614,315,460,450
30195452,585,614,314,458,450
30295564,585,614,314,459,450
30395580,585,614,314,459,450
30485688,584,614,313,457,450
30575696,584,614,312,455,450
30675804,584,614,312,455,450
30765816,584,614,312,456,450
30855924,584,614,312,456,450
30955916,584,614,311,455,450
31056032,584,614,310,454,450
31156016,584,614,310,454,450
31256028,584,614,309,453,450
31356244,584,614,309,453,450
31456236,583,614,308,451,450
31546224,583,614,308,451,450
31636228,583,614,308,451,450
31736340,583,614,307,449,450
31826448,583,614,306,449,450
31916436,583,614,306,449,450
32016432,583,614,305,448,450
32116552,583,614,305,448,450
32216564,582,614,304,446,450
32316672,582,614,303,445,450
32416764,582,614,303,445,450
32516772,582,614,302,444,450
32606880,582,614,302,444,450
32696888,582,614,301,442,450
32796900,581,614,300,442,451
32897028,582,614,301,443,450
32997032,581,614,300,441,450
33097160,581,614,299,440,450
33197272,581,614,298,438,450
33277276,581,614,299,440,450
33367264,581,614,298,439,450
33457392,580,614,297,437,450
33557404,580,614,297,437,450
33647488,580,614,297,437,450
33737488,580,614,296,437,451
33817500,580,614,296,437,451
33907628,580,614,296,437,451
33997648,580,614,295,435,450
34097640,580,614,294,434,450
34177740,580,614,295,434,450
34267748,580,614,294,434,450
34357856,580,614,294,434,450
34437940,579,614,293,432,450
34527948,579,614,293,433,451
34607952,579,614,292,432,451
34698060,579,614,292,431,450
34778052,579,614,292,432,451
34868156,579,614,291,430,450
34958184,579,614,290,429,450
35058248,579,614,290,429,450
35158260,578,614,289,428,451
35238368,578,614,289,427,450
35328376,578,614,289,428,451
35418360,578,614,289,428,451
35498464,578,614,288,427,451
35588556,578,614,288,426,451
35668456,578,614,287,425,450
35758548,578,614,287,425,450
35848640,578,614,286,424,450
35948648,578,614,286,424,450
36048636,578,614,285,423,450
36128844,578,614,285,424,451
36218852,578,614,285,424,451
36308860,578,614,284,423,451
36398988,578,614,284,422,451
36498972,578,614,283,420,450
36598964,577,614,282,419,450
36689172,577,614,281,417,450
36779060,577,614,281,419,451
36869192,577,614,281,418,450
36969272,577,614,280,418,451
37069284,577,614,280,418,451
37159272,577,614,280,417,450
37259384,577,614,279,415,450
37339388,576,614,278,414,450
37429476,576,614,277,414,451
37519584,576,614,277,412,450
37619472,576,614,277,412,450
37719584,576,614,277,414,451
37819696,576,614,276,413,451
37919708,576,614,275,410,450
38019716,575,614,274,410,451
38109844,575,614,274,410,451
38209836,575,614,274,409,450
38299948,575,614,273,409,451
38400064,575,614,273,408,450
38490068,575,614,273,409,451
38590196,575,614,272,408,451
38690188,575,614,272,408,451
38790200,574,614,270,404,451
38890288,574,614,270,404,450
38970420,574,614,270,404,451
39060408,574,614,270,404,450
39150520,574,614,268,403,451
39240404,574,614,269,403,450
39330512,574,614,268,403,451
39430604,574,614,267,402,451
39510708,574,614,267,401,451
39600620,573,614,266,400,451
39690828,573,614,265,399,451
39790820,573,614,265,398,450
39870744,573,614,264,398,451
39960936,573,614,264,398,451
40050928,573,614,264,398,451
40140936,573,614,263,396,450
40231040,572,614,262,395,451
40331152,572,614,262,394,450
40421132,572,614,261,393,450
40501240,572,614,260,393,451
40591244,572,614,260,393,451
40681248,572,614,260,393,451
40761336,571,614,259,391,451
40851336,571,614,259,391,451
40941444,571,614,258,389,450
41031336,571,614,258,389,451
41121436,571,614,257,387,450
41211540,571,614,256,388,451
41291664,571,614,256,387,450
41381656,571,614,256,387,450
41471660,570,614,255,386,450
41561764,570,614,255,387,451
41651744,570,614,254,386,451
41751868,570,614,253,384,451
41831768,570,614,254,386,451
41921968,570,614,253,385,451
42011968,569,614,252,511,451
42101992,569,614,252,511,451
42192076,569,614,251,510,451
42282080,569,614,251,510,451
42372184,569,614,250,508,451
42462284,569,614,250,507,450
42562188,569,614,249,506,450
42652292,569,614,249,507,451
42752280,569,614,249,508,451
42832380,569,614,248,507,451
42922484,569,614,248,506,451
43012388,569,614,247,505,450
43102492,569,614,247,506,451
43192620,569,614,246,505,451
43282624,569,614,246,504,451
43372748,569,614,245,503,450
43462732,569,614,246,503,450
43552840,569,614,245,504,451
43652840,568,614,244,501,450
43732944,569,614,245,504,451
43822972,568,614,244,501,450
43913080,568,614,244,502,451
44003076,568,614,244,501,450
44093184,568,614,243,500,450
44183168,568,614,243,500,450
44273196,568,614,242,500,451
44363200,568,614,242,500,451
44453304,568,614,241,498,451
44533304,568,614,241,498,450
44623308,568,614,241,499,451
44713416,567,614,240,497,451
44803524,567,614,240,497,451
44893628,567,614,240,497,451
44983508,567,614,239,496,451
45073616,567,614,239,495,451
45153636,567,614,239,495,450
45243740,567,614,239,495,450
45333744,567,614,238,493,450
45423852,566,614,237,492,451
45513856,566,614,237,493,451
45603980,566,614,236,491,451
45693988,566,614,236,492,451
45784092,566,614,237,492,451
45884096,566,614,236,491,451
45974220,566,614,236,492,451
46064228,566,614,235,491,451
46154332,566,614,235,490,450
46244340,566,614,234,489,451
46334464,566,614,235,491,451
46424488,566,614,234,489,451
46514492,566,614,234,489,450
46594616,566,614,234,489,451
46684720,565,614,233,488,451
46774724,565,614,233,488,451
46864852,565,614,232,487,451
46954756,565,614,232,487,451
47044884,565,614,232,486,450
47134992,565,614,232,487,451
47225100,565,614,231,485,451
47315004,565,614,231,486,451
47405232,565,614,231,485,451
47495236,565,614,230,484,450
47585220,564,614,229,483,451
47675248,564,614,229,483,451
47755348,564,614,229,483,451
47845336,564,614,228,482,451
47935440,564,614,228,482,451
48025448,564,614,228,482,451
48115572,564,614,227,481,451
48205552,564,614,227,481,451
48295680,563,614,226,479,451
48395668,563,614,226,479,451
48485692,563,614,225,478,451
48565796,563,614,225,477,451
48655800,563,614,225,478,451
48745924,563,614,225,478,451
48835948,563,614,225,478,451
48925976,563,614,224,476,450
49016104,562,614,223,475,451
49106232,562,614,223,474,450
49196220,562,614,223,475,451
49286244,562,614,223,475,451
49376348,562,614,222,473,451
49476476,562,614,221,472,451
49556380,562,614,221,473,451
49646484,562,614,221,472,451
49736504,562,614,220,472,451
49826716,562,614,220,472,451
49916736,561,614,219,470,451
50006844,561,614,219,470,451
50096768,561,614,218,469,451
50186872,561,614,218,469,451
50276900,561,614,218,469,451
50377032,561,614,218,469,451
50467160,561,614,217,468,451
50557184,561,614,217,468,451
50637188,561,614,217,468,451
50727216,560,614,216,466,451
50817324,560,614,216,466,451
50907428,560,614,216,466,451
50997436,560,614,215,464,451
51097568,560,614,215,465,451
51187580,560,614,215,465,451
51277704,560,614,214,464,451
51367700,560,614,214,464,451
51457724,560,614,214,464,451
51547828,560,614,213,463,451
51637956,560,614,214,464,451
51727980,560,614,213,463,451
51817984,560,614,212,462,451
51908108,560,614,212,462,451
51998216,560,614,212,461,451
52088120,560,614,212,461,451
52178224,560,614,211,461,451
52268232,559,614,210,459,451
52358240,560,614,211,460,451
52458448,559,614,210,458,451
52548492,559,614,209,458,451
52638612,559,614,209,458,451
52728528,559,614,210,459,451
52808636,559,614,209,458,451
52908776,559,614,209,457,451
52998800,559,614,209,458,451
53088904,559,614,208,456,451
53178924,559,614,208,457,451
53268948,559,614,208,457,451
53359052,559,614,208,456,451
53459200,559,614,207,456,451
53539216,559,614,208,456,451
53629320,559,614,207,456,451
53719244,559,614,207,455,451
53809348,558,614,206,454,451
53899452,558,614,206,454,451
53999456,558,614,206,454,451
54089588,558,614,205,453,451
54179584,558,614,205,453,451
54269568,558,614,205,453,451
54359676,558,614,204,452,451
54449700,558,614,204,451,451
54539800,558,614,204,451,451
54629904,557,614,203,450,451
54719912,557,614,203,450,451
54809916,557,614,202,449,451
54910044,557,614,203,450,451
55000052,557,614,202,449,451
55090160,557,614,201,448,451
55180164,557,614,202,449,451
55270160,557,614,201,449,452
55360268,557,614,201,448,451
55460272,557,614,201,448,451
55550400,557,614,200,447,451
55640508,557,614,200,447,451
55730512,557,614,200,447,451
55820620,556,614,199,445,451
55910624,556,614,199,445,451
56000732,556,614,198,444,451
56090752,556,614,198,444,451
