time,b2,b5,b8,b16,b11,b14
53988,551,510,180,433,65,536
134100,551,510,180,433,65,536
224088,551,510,180,433,65,536
314184,551,510,180,433,65,536
394184,551,510,180,432,64,536
484176,551,510,180,432,64,536
574172,551,510,180,431,64,535
664268,551,510,180,432,64,536
744388,551,510,179,431,64,536
834360,551,510,180,432,64,536
924456,551,510,179,431,64,536
1014552,551,510,180,432,64,536
1094536,551,510,179,431,64,536
1184556,551,510,180,432,64,536
1274536,551,510,179,431,64,536
1354644,551,509,179,429,63,536
1434644,551,509,179,429,63,536
1524744,551,510,179,431,64,536
1614728,551,509,180,430,63,536
1704724,551,509,180,430,63,536
1784832,551,509,179,429,63,536
1874936,551,509,179,429,63,536
1964940,551,509,179,429,63,536
2044916,551,509,179,429,63,536
2125040,551,509,179,429,63,536
2215144,551,509,179,429,63,536
2305028,551,509,179,429,63,536
2385128,551,509,179,429,63,536
2465148,551,509,179,429,63,536
2555232,551,509,179,429,63,536
2645236,551,509,180,429,62,536
2725336,551,509,179,428,62,536
2815340,551,509,179,428,62,536
2905464,551,509,179,428,62,536
2995452,551,509,179,428,62,536
3075432,551,509,179,428,62,536
3165516,551,509,179,428,62,536
3255620,551,509,179,428,62,536
3345604,551,509,179,427,62,535
3425584,551,509,179,428,62,536
3505664,551,509,179,428,62,536
3595648,551,508,179,426,61,536
3685632,551,509,179,428,62,536
3765732,551,509,179,428,62,536
3855820,551,508,179,426,61,536
3945804,551,509,180,429,62,536
4035788,551,508,179,426,61,536
4115912,551,508,179,426,61,536
4205892,551,508,180,427,61,536
4295896,551,508,179,426,61,536
4386004,551,508,179,426,61,536
4466004,551,508,179,426,61,536
4556128,551,508,179,426,61,536
4646152,551,508,180,427,61,536
4736260,551,508,179,426,61,536
4816260,551,508,180,427,61,536
4906364,551,508,179,426,61,536
4996368,551,508,180,427,61,536
5086376,551,508,180,427,61,536
5166480,551,508,180,427,61,536
5256504,551,508,180,427,61,536
5346608,551,508,180,427,61,536
5436612,551,508,179,425,60,536
5516712,551,508,179,426,61,536
5606820,551,508,180,427,61,536
5696724,551,508,180,427,61,536
5786868,551,508,180,427,61,536
5866968,551,508,180,426,60,536
5956996,551,508,179,424,60,535
6047100,551,508,179,426,61,536
6137008,551,508,180,426,60,536
